starttimes,endtimes
2017-06-14T19:25:40Z,2017-06-14T19:27:10Z
2017-06-14T19:49:30Z,2017-06-14T19:50:40Z
2017-06-14T19:54:00Z,2017-06-14T19:55:20Z
2017-06-14T19:57:20Z,2017-06-14T19:59:20Z
2017-06-14T20:12:50Z,2017-06-14T20:14:10Z
2017-06-14T20:13:40Z,2017-06-14T20:14:30Z
2017-06-14T20:14:20Z,2017-06-14T20:15:10Z
2017-06-14T20:14:50Z,2017-06-14T20:16:50Z
2017-06-14T20:18:30Z,2017-06-14T20:20:00Z
2017-06-14T20:20:40Z,2017-06-14T20:22:00Z
2017-06-14T20:22:10Z,2017-06-14T20:23:30Z
2017-06-14T20:23:50Z,2017-06-14T20:25:10Z
2017-06-14T20:25:00Z,2017-06-14T20:27:30Z
2017-06-14T20:27:20Z,2017-06-14T20:28:40Z
2017-06-14T20:29:50Z,2017-06-14T20:30:50Z
2017-06-14T20:30:20Z,2017-06-14T20:32:50Z
2017-06-14T20:32:30Z,2017-06-14T20:33:20Z
2017-06-14T20:33:40Z,2017-06-14T20:35:10Z
2017-06-14T20:38:00Z,2017-06-14T20:39:20Z
2017-06-14T20:39:50Z,2017-06-14T20:41:10Z
2017-06-14T20:41:30Z,2017-06-14T20:42:50Z
2017-06-14T20:43:50Z,2017-06-14T20:44:40Z
2017-06-14T20:44:30Z,2017-06-14T20:46:50Z
2017-06-14T20:54:30Z,2017-06-14T20:55:20Z
2017-06-14T20:55:00Z,2017-06-14T20:55:50Z
2017-06-14T20:55:20Z,2017-06-14T20:56:10Z
2017-06-14T21:00:20Z,2017-06-14T21:01:40Z
2017-06-14T21:04:00Z,2017-06-14T21:04:50Z
2017-06-14T21:13:10Z,2017-06-14T21:14:10Z
2017-06-14T21:16:40Z,2017-06-14T21:18:30Z
2017-06-14T21:41:20Z,2017-06-14T21:42:10Z
2017-06-14T21:41:40Z,2017-06-14T21:42:30Z
2017-06-14T21:42:00Z,2017-06-14T21:42:50Z
2017-06-14T21:59:20Z,2017-06-14T22:00:30Z
2017-06-14T22:11:50Z,2017-06-14T22:13:10Z
2017-06-14T22:24:50Z,2017-06-14T22:26:00Z
2017-06-14T23:11:30Z,2017-06-14T23:13:00Z
2017-06-14T23:50:50Z,2017-06-14T23:52:10Z
2017-06-15T01:05:40Z,2017-06-15T01:07:20Z
2017-06-15T01:08:30Z,2017-06-15T01:10:00Z
2017-06-15T01:43:04Z,2017-06-15T01:44:44Z
2017-06-15T01:43:40Z,2017-06-15T01:45:10Z
2017-06-15T02:35:30Z,2017-06-15T02:36:30Z
2017-06-15T02:48:10Z,2017-06-15T02:49:30Z
